"Location","nation","Country","Country_work","gender","what_participant_group","field_research","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","total_research"
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",30,30,40,50,30,20,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",40,40,20,80,20,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",30,70,0,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",20,50,30,50,30,20,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",90,0,10,50,0,50,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",40,30,30,60,20,20,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",20,80,0,20,70,0,90
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Interdisciplinary Science",70,30,0,40,60,0,100
"Australia","Australia","Australia","Australia","Male","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Natural Science",60,30,10,90,10,0,100
"Australia","Australia","Australia","Australia","Male","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Medicine and Life Science",70,0,30,90,0,10,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",70,20,0,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",50,30,20,20,30,50,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",20,60,20,60,20,20,100
"Australia","Australia","Australia","Australia","Male","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Natural Science",50,50,0,80,20,0,100
"Australia","Australia","Australia","Australia","Female","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Medicine and Life Science",80,20,0,90,10,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",20,70,0,30,60,10,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",0,50,50,70,0,30,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",80,0,20,100,0,0,100
"Australia","Australia","Australia","Australia","Female","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Medicine and Life Science",90,10,0,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",50,0,50,70,0,30,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",70,30,0,100,0,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",10,40,50,40,30,30,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",80,20,0,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",70,10,20,80,0,20,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",0,20,80,0,60,40,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",10,20,70,30,40,30,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",60,40,0,90,10,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",30,60,10,80,20,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",30,0,70,70,0,30,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",20,80,0,40,60,0,100
"Australia","Canada","Australia","","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",40,10,50,80,10,10,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",60,50,40,10,50,40,100
"Australia","Australia","Australia","Australia","Male","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Natural Science",90,10,0,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",50,50,0,70,30,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",80,0,20,90,0,10,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",70,20,0,90,10,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",10,10,80,20,30,50,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",90,0,10,100,0,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Interdisciplinary Science",20,40,40,60,30,10,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",10,80,10,30,50,20,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",70,20,0,90,10,0,100
"Australia","Australia","Australia","Australia","Male","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",81.8181818181818,0,9.09090909090909,90.9090909090909,0,9.09090909090909,110
"Australia","New Zealand","Australia","New Zealand","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",20,60,20,60,30,10,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Interdisciplinary Science",50,0,50,60,10,30,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",10,40,50,0,30,70,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Interdisciplinary Science",70,20,10,90,0,0,90
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",36.3636363636364,36.3636363636364,9.09090909090909,54.5454545454545,45.4545454545455,0,110
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",0,30,60,40,40,20,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",60,40,0,50,50,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",60,40,0,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",80,0,20,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",10,20,70,20,50,30,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",70,30,0,90,10,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",50,50,0,100,0,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",50,40,10,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",90,10,0,70,30,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",30,70,0,60,40,0,100
"Australia","Australia","Australia","Australia","Female","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Medicine and Life Science",0,30,70,0,70,30,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",20,40,40,50,30,20,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Social Science / Humanities",30,20,50,50,20,30,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",70,20,10,80,20,0,100
"Australia","Australia","Australia","Australia","Female","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Social Science / Humanities",50,40,10,70,20,10,100
"Australia","Australia","Australia","Australia","Female","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Other",20,40,40,30,50,10,90
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Medicine and Life Science",20,60,20,40,40,20,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",20,50,30,70,30,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Interdisciplinary Science",60,20,20,90,10,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",50,0,50,30,0,70,100
"Australia","Australia","Australia","Australia","Female","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","Natural Science",80,20,20,100,0,0,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",0,50,50,20,60,20,100
"Australia","Australia","Australia","Australia","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Natural Science",30,70,0,50,50,0,100
"Australia","Australia","Australia","Australia","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",0,70,30,70,30,0,100
"Australia","Australia","Australia","Australia","Female","Non-academic researcher conducting or managing research in industry or government with &lt;10 years of experience","Interdisciplinary Science",10,50,40,40,20,40,100
"Australia","Australia","Australia","Australia","Male","Non-academic researcher conducting or managing research in industry or government with &gt;10 years of experience","Natural Science",0,50,50,20,50,30,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Interdisciplinary Science",70,30,0,90,10,0,100
"Australia","Australia","Australia","Australia","Female","Senior academic researcher with &gt;10 years of experience applying for research grants","Engineering",10,40,50,20,60,20,100
"Austria","Austria","Austria","Austria","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,0,80,0,20,100
"Belgium","United States","Belgium","United States","Male","Senior academic researcher with &gt;10 years of experience applying for research grants","Other",0,70,30,40,60,0,100
"Brazil","Brazil","Brazil","Brazil","Female","","Natural Science",50,20,30,70,20,10,100
