"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"California","USA","United States","Female","Very important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will decrease considerably"
"Netherlands","Netherlands","United States","Male","Very important",NA,1,NA,NA,"Will decrease slightly","Will stay the same","","Will decrease considerably"
"","","United States","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Montenegro","Montenegro","Montenegro","Male","Not at all important",NA,NA,NA,1,"Can't comment","","Can't comment","Can't comment"
"Nevada","USA","United States","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Can't comment","Can't comment","Will decrease slightly"
"Australia","Australia","Australia","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Can't comment","Will decrease slightly"
"Australia","Australia","Australia","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will stay the same"
"Illinois","USA","United States","Male","Very important",NA,NA,NA,1,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"New York","USA","United States","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably"
"Australia","Australia","Australia","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase considerably","Will stay the same"
"China","China","China","Male","Somewhat important",1,1,NA,NA,"Will increase considerably","Will increase slightly","Will stay the same","Will increase considerably"
"Israel","Israel","Israel","Male","Somewhat important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will increase considerably","Will increase considerably"
"","","United States","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will increase considerably"
"Australia","Australia","Australia","Female","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly"
"Australia","Australia","Australia","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Australia","Australia","Australia","Male","Not at all important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease slightly"
"Australia","Australia","Australia","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase slightly","Will stay the same"
"Australia","Australia","Australia","Male","Not at all important",NA,1,1,NA,"Can't comment","Will increase slightly","Will increase slightly","Can't comment"
"","","Australia","Female","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will stay the same","Will decrease slightly"
