"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"California","USA","United States","Female","Somewhat important",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"California","USA","United States","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will increase slightly","Will decrease slightly"
"Australia","Australia","Australia","Male","Very important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease slightly"
"Germany","Germany","Germany","Male","Very important",NA,1,NA,NA,"Will stay the same","Will increase slightly","Can't comment","Will decrease slightly"
"","","United States","Female","Not very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Female","Not very important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"Denmark","Denmark","Denmark","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably"
"Australia","Australia","Australia","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"Newfoundland and Labrador","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Can't comment","Can't comment"
"France","France","France","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease considerably"
"Oklahoma","USA","United States","Female","Very important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will decrease considerably"
"Vermont","USA","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably"
"Ontario","Canada","Canada","Female","Very important",1,1,1,NA,"Will decrease slightly","","","Will decrease slightly"
"Ohio","USA","United States","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Ontario","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Italy","Italy","Portugal","Male","Not very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"Sweden","Sweden","Canada","Female","Not very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Nova Scotia","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Alberta","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will increase considerably","Will decrease slightly"
"Alberta","Canada","Canada","Female","Somewhat important",1,1,NA,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Israel","Israel","Israel","Male","Very important",NA,NA,NA,1,"Will stay the same","Can't comment","Can't comment","Will stay the same"
"Nova Scotia","Canada","Canada","Female","Somewhat important",NA,1,NA,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Quebec","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Indiana","USA","United States","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Can't comment"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Maine","USA","United States","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Can't comment"
"Ontario","Canada","Canada","Female","Not at all important",NA,NA,1,NA,"Will increase considerably","Will stay the same","Will stay the same","Will increase considerably"
"British Columbia","Canada","Canada","Male","Can't comment",NA,1,1,NA,"Will increase slightly","Can't comment","Can't comment","Can't comment"
"New York","USA","United States","Male","Not very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease considerably"
"","","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","","Will increase slightly","Will increase considerably"
"Alberta","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Will stay the same"
"","","Canada","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably"
"Maryland","USA","","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase slightly","Will decrease considerably"
"France","France","France","Male","Not very important",NA,1,NA,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"Finland","Finland","Finland","Female","Not very important",NA,NA,NA,1,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Switzerland","Switzerland","United States","Female","Not at all important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly"
"Australia","Australia","Australia","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will increase slightly"
"Germany","Germany","Benin","Male","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will increase considerably"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will stay the same","Will decrease considerably"
"Nova Scotia","Canada","Canada","Female","Very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Quebec","Canada","Canada","Male","Very important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will stay the same","Will increase considerably"
"Colorado","USA","United States","Male","Not at all important",NA,NA,NA,1,"Can't comment","Will stay the same","Will stay the same","Will decrease slightly"
"","","Canada","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase considerably","Will increase considerably","Will stay the same"
"","","Canada","Female","Very important",NA,1,NA,NA,"Will stay the same","Will increase slightly","Will stay the same","Will decrease slightly"
"","","United States","Male","Very important",NA,NA,NA,1,"Will stay the same","Will stay the same","Will stay the same",""
"Ontario","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease considerably"
"Germany","Germany","Germany","Female","Not very important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease slightly"
"Michigan","USA","United States","Male","Very important",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will stay the same","Will decrease slightly"
"Colorado","USA","United States","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Ontario","Canada","Canada","Female","Not at all important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"Ethiopia","Ethiopia","Ethiopia","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will increase considerably"
"","","United States","Female","Somewhat important",NA,1,NA,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Lesotho","Lesotho","Lesotho","Male","Not at all important",NA,1,1,NA,"Can't comment","Will stay the same","Will stay the same","Will decrease considerably"
"Quebec","Canada","Canada","","Can't comment",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Quebec","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will increase slightly","Will decrease considerably"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease considerably"
"Saskatchewan","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","","Will increase slightly","Will decrease slightly"
"Indonesia","Indonesia","Indonesia","Female","Very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will increase slightly"
"Bangladesh","Bangladesh","Bangladesh","Female","Not very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will decrease considerably"
"Vietnam","Vietnam","Vietnam","Female","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same"
"Nicaragua","Nicaragua","Nicaragua","Male","Not at all important",NA,NA,NA,1,"Will stay the same","Will decrease slightly","Will stay the same","Will decrease slightly"
"Quebec","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Can't comment"
"India","India","India","Female","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly"
"Philippines","Philippines","Philippines","Female","Very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease slightly"
"Kenya","Kenya","Kenya","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"Russian Federation","Russian Federation","Russia","Female","Not at all important",NA,NA,NA,1,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably"
"India","India","India","Male","Somewhat important",NA,1,1,NA,"Will increase slightly","Will increase considerably","Will increase considerably","Will increase slightly"
"Israel","Israel","Israel","Male","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease considerably"
"Japan","Japan","Bangladesh","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will increase slightly"
"Quebec","Canada","Canada","Male","Not at all important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"California","USA","United States","Male","Not very important",NA,NA,NA,1,"Will decrease slightly","Can't comment","Can't comment","Will decrease slightly"
"Colombia","Colombia","Colombia","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease slightly"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Can't comment","Can't comment","Will increase slightly"
"British Columbia","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly"
"Nigeria","Nigeria","Nigeria","Female","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Will increase considerably","Will increase considerably"
"Nevada","USA","United States","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Israel","Israel","Israel","Male","Not very important",NA,NA,1,NA,"Will stay the same","Can't comment","Will increase slightly","Will increase slightly"
"Mozambique","Mozambique","Mozambique","Male","Very important",NA,NA,1,NA,"Will increase considerably","Will increase considerably","Will increase considerably","Will increase considerably"
"Malaysia","Malaysia","Malaysia","Male","Not at all important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"Taiwan","Taiwan","Taiwan","Male","Very important",NA,1,1,NA,"Can't comment","Will stay the same","Will stay the same","Will increase slightly"
"Dominican Republic","Dominican Republic","Dominican Republic","Male","Somewhat important",NA,NA,1,1,"Can't comment","Will stay the same","Will increase considerably","Will increase slightly"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Ontario","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease slightly"
"Massachusetts","USA","United States","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will stay the same"
"Russian Federation","Russian Federation","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will increase considerably","Will decrease slightly"
"","","Canada","Other","Not very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Can't comment","Will decrease considerably"
"","","Canada","Female","Not very important",NA,NA,1,NA,"Can't comment","Can't comment","Can't comment","Will stay the same"
"Ontario","Canada","Canada","Male","Very important",NA,1,1,NA,"Will increase slightly","Will increase considerably","Can't comment","Can't comment"
"Indonesia","Indonesia","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"California","USA","United States","Female","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase considerably","Will decrease slightly"
"Nepal","Nepal","Nepal","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will increase slightly"
"India","India","India","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Japan","Japan","Japan","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","","Will increase slightly","Will decrease slightly"
"Iowa","USA","United States","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will stay the same","Will decrease considerably"
"","","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will decrease considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Can't comment","Will decrease slightly","Will increase slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Can't comment","Will increase slightly","Will decrease slightly"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Alberta","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease slightly"
"Saskatchewan","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase considerably","Can't comment","Will increase slightly","Will increase considerably"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Lebanon","Lebanon","Lebanon","Female","Not very important",NA,1,NA,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"Ontario","Canada","Canada","Male","Not very important",NA,NA,1,NA,"Will stay the same","Can't comment","Will stay the same","Will decrease slightly"
"Hawaii","USA","Canada","Female","Not very important",NA,NA,1,NA,"Will stay the same","Will decrease slightly","Will decrease slightly","Will increase considerably"
"","","Canada","Female","Not at all important",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will increase slightly"
"Australia","Australia","Australia","Female","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will increase considerably"
"Malaysia","Malaysia","Malaysia","Female","Very important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Can't comment"
"Ontario","Canada","Canada","Male","Can't comment",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Can't comment"
"Ontario","Canada","Canada","Male","Somewhat important",1,1,NA,NA,"Will increase considerably","Will increase considerably","Will increase slightly","Will stay the same"
"Germany","Germany","Germany","Male","Somewhat important",1,1,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Switzerland","Switzerland","United Kingdom","Female","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"","","Canada","Male","Not very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will stay the same","Will increase slightly"
"Ontario","Canada","Canada","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably"
"Alberta","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will decrease slightly","Will decrease considerably"
"","","Canada","Male","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Quebec","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase considerably","Will increase considerably","Will increase considerably"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,1,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"British Columbia","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Can't comment"
"British Columbia","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will decrease slightly","Will increase slightly"
"Ontario","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase considerably","Will stay the same","Will stay the same","Will increase considerably"
"Ontario","Canada","Canada","Male","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Germany","Germany","Canada","Male","Somewhat important",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease slightly"
"Alberta","Canada","Canada","Male","Very important",NA,NA,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"","","Bangladesh","Male","Can't comment",NA,NA,1,NA,"Can't comment","Will stay the same","Will increase considerably","Will increase slightly"
"Quebec","Canada","Canada","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably"
"Bangladesh","Bangladesh","Bangladesh","Male","Not very important",NA,NA,NA,1,"Will decrease considerably","Can't comment","Can't comment","Will decrease considerably"
"Hawaii","USA","United States","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Can't comment","Will increase slightly","Will decrease considerably"
"Indonesia","Indonesia","Indonesia","Male","Very important",NA,NA,1,NA,"Will stay the same","Can't comment","Will increase considerably","Will increase considerably"
"France","France","Canada","Male","Very important",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly"
"California","USA","United States","Female","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will decrease considerably","Will decrease considerably"
"","","Canada","Female","Not very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"California","USA","","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will increase considerably"
"United Kingdom","United Kingdom","United States","Female","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease slightly"
"Florida","USA","United States","Male","Somewhat important",NA,NA,NA,1,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"Quebec","Canada","Canada","Female","Can't comment",NA,NA,NA,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Ontario","Canada","Canada","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease considerably"
"Quebec","Canada","","Male","Not at all important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will increase considerably","Will decrease considerably"
"Nigeria","Nigeria","Nigeria","Male","Not at all important",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Can't comment"
"British Columbia","Canada","Canada","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably"
"Hawaii","USA","United States","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Ontario","Canada","Canada","Female","Very important",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Alabama","USA","United States","Female","Not very important",NA,1,NA,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"","","United States","Female","Somewhat important",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same"
"California","USA","United States","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease considerably"
"Spain","Spain","United States","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Texas","USA","United States","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will stay the same"
"Massachusetts","USA","United States","Female","Not very important",1,1,NA,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease slightly"
"North Carolina","USA","United States","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably"
"Massachusetts","USA","United States","Female","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease slightly"
"","","Canada","Male","Somewhat important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Can't comment"
"","","United States","Male","Somewhat important",1,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease slightly"
"","","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Will decrease considerably","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,NA,NA,1,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Not very important",NA,1,1,NA,"Will decrease considerably","Can't comment","Can't comment","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,1,NA,NA,"Will decrease considerably","Will stay the same","Will stay the same","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will stay the same","Will decrease slightly"
"Massachusetts","USA","United States","Female","Very important",NA,NA,NA,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",1,1,NA,NA,"Will increase slightly","Will increase slightly","","Will increase slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will stay the same","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will stay the same","Will stay the same","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will stay the same","Can't comment"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Can't comment","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not at all important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Can't comment","Will decrease slightly"
"Switzerland","Switzerland","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease considerably"
"Hong Kong","Hong Kong","United Kingdom","Male","Somewhat important",NA,1,NA,NA,"Can't comment","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not at all important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will stay the same","Will decrease considerably"
"Switzerland","Switzerland","United Kingdom","Male","Not at all important",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Female","Somewhat important",NA,NA,NA,1,"Can't comment","Will decrease slightly","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","","Will decrease slightly","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase considerably","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Female","Very important",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,1,NA,NA,"Will stay the same","Will stay the same","Will stay the same","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will increase considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","Not very important",NA,1,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Spain","Spain","United Kingdom","Male","Somewhat important",NA,1,NA,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Very important",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase considerably","Will stay the same"
"United Kingdom","United Kingdom","United Kingdom","Male","Somewhat important",NA,NA,NA,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Australia","Australia","Australia","Female","Somewhat important",NA,NA,1,NA,"Can't comment","Can't comment","Will decrease slightly","Can't comment"
"China","China","United Kingdom","Male","Not very important",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will stay the same","Will decrease slightly"
"Saskatchewan","Canada","Canada","Female","Somewhat important",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase considerably",""
"Washington","USA","United Kingdom","Male","Very important",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will stay the same","Will decrease slightly"
"Oregon","USA","United Kingdom","Male","Somewhat important",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will increase slightly"
"United Kingdom","United Kingdom","United Kingdom","Female","Very important",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","Not at all important",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease slightly"
