"Location","nation","id","Country","Country_work","gender","what_participant_group","field_research","total_research","percent_Applied_Research_current","percent_Applied_Research_past","percent_Fundamental_Research_past","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Use_inspired_Research_past","changed","majority_current","majority_past","curr_past.app","curr_past.use","curr_past.fund","app_mean","app_sd","use_mean","use_sd","fund_mean","fund_sd"
"Ontario","Canada",576,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",90,50,30,10,0,50,50,"Yes","app.current","use.past",20,0,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"New Brunswick","Canada",584,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,10,0,100,90,10,0,"Yes","fund.current","fund.past",10,10,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",586,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,50,0,100,50,0,0,"Yes","fund.app.half.current","fund.past",50,0,-50,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"British Columbia","Canada",601,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,30,10,90,70,0,0,"Yes","fund.current","fund.past",20,0,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",604,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,20,0,80,70,10,20,"Yes","fund.current","fund.past",20,-10,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",606,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,70,60,40,30,0,0,"Yes","app.current","app.past",10,0,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Nova Scotia","Canada",615,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,40,0,100,50,10,0,"Yes","fund.current","fund.past",40,10,-50,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",616,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,10,10,90,90,0,0,"Yes","fund.current","fund.past",0,0,0,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",619,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,40,30,30,20,40,40,"Yes","fund.current","fund.past",10,0,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",620,"Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,0,0,100,70,30,0,"Yes","fund.current","fund.past",0,30,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Nevada","Canada",623,"United States","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,40,10,20,20,80,70,"Yes","use.current","use.past",30,10,0,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",624,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,10,0,100,80,10,0,"Yes","fund.current","fund.past",10,10,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",631,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,0,0,90,70,30,10,"Yes","fund.current","fund.past",0,20,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",634,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,50,40,30,10,40,30,"Yes","app.current","fund.past",10,10,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",636,"Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",100,50,0,70,10,40,30,"Yes","app.current","fund.past",50,10,-60,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",642,"Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",100,50,0,0,0,50,100,"Yes","app.current","use.past",50,-50,0,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",645,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,90,50,50,10,"Yes","fund.app.half.current","fund.past",0,40,-40,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Quebec","Canada",648,"Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",90,0,0,70,60,40,20,"Yes","fund.current","fund.past",0,20,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",652,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,30,10,80,40,30,10,"Yes","fund.current","fund.past",20,20,-40,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"","Canada",664,"","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,30,10,80,30,30,10,"Yes","fund.current","fund.past",20,20,-50,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",665,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,40,40,40,30,30,20,"Yes","fund.current","fund.past",0,10,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",669,"Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",90,0,0,90,90,70,0,"Yes","use.current","fund.past",0,70,0,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",672,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,10,0,100,90,0,0,"Yes","fund.current","fund.past",10,0,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",679,"Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,10,50,50,60,30,0,"Yes","fund.current","fund.app.half.past",-40,30,10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"British Columbia","Canada",682,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,0,100,80,20,0,"Yes","fund.current","fund.past",0,20,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"British Columbia","Canada",683,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,30,20,10,90,50,"Yes","use.current","use.past",-30,40,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"France","Canada",687,"France","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,50,20,80,50,0,0,"Yes","fund.app.half.current","fund.past",30,0,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",688,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,20,20,40,50,30,40,"Yes","fund.current","fund.past",0,-10,10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",690,"Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,40,20,80,60,0,0,"Yes","fund.current","fund.past",20,0,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",696,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,60,40,20,10,30,40,"Yes","app.current","fund.past",20,-10,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"British Columbia","Canada",697,"Canada","Canada","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",100,30,20,20,10,60,60,"Yes","use.current","use.past",10,0,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",698,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,0,90,50,50,10,"Yes","fund.app.half.current","fund.past",0,40,-40,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Manitoba","Canada",699,"Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",90,30,0,60,40,30,30,"Yes","fund.current","fund.past",30,0,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",701,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",150,6.66666666666667,6.66666666666667,33.3333333333333,40,60,60,"Yes","use.current","use.past",0,0,6.6666666666667,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"","Canada",704,"","Canada","Other","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",90,0,0,90,70,30,0,"Yes","fund.current","fund.past",0,30,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Greece","Canada",708,"Greece","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,20,0,100,80,0,0,"Yes","fund.current","fund.past",20,0,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Quebec","Canada",709,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,0,90,80,20,10,"Yes","fund.current","fund.past",0,10,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"","Canada",715,"","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,0,10,60,70,30,30,"Yes","fund.current","fund.past",-10,0,10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",717,"Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",90,90,70,20,0,10,0,"Yes","app.current","app.past",20,10,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",721,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,30,30,40,30,40,30,"Yes","fund.current","fund.past",0,10,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",731,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,50,20,80,50,0,0,"Yes","fund.app.half.current","fund.past",30,0,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",732,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,60,50,20,20,20,30,"Yes","app.current","app.past",10,-10,0,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"","Canada",737,"","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,20,10,70,50,30,20,"Yes","fund.current","fund.past",10,10,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Alberta","Canada",738,"Canada","Canada","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",100,20,10,40,40,40,50,"Yes","fund.current","use.past",10,-10,0,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Quebec","Canada",740,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,10,10,40,20,70,50,"Yes","use.current","use.past",0,20,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Vermont","Canada",743,"United States","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,30,0,100,70,0,0,"Yes","fund.current","fund.past",30,0,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Ontario","Canada",753,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,0,0,90,20,80,10,"Yes","use.current","fund.past",0,70,-70,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Florida","Canada",755,"United States","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,20,10,50,40,40,40,"Yes","fund.current","fund.past",10,0,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Saskatchewan","Canada",761,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,20,50,50,80,0,0,"Yes","fund.current","fund.app.half.past",-30,0,30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"British Columbia","Canada",764,"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,100,90,10,0,"Yes","fund.current","fund.past",0,10,-10,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"","Canada",766,"","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,100,70,30,0,"Yes","fund.current","fund.past",0,30,-30,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
"Prince Edward Island","Canada",768,"Canada","Canada","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,30,10,80,60,10,10,"Yes","fund.current","fund.past",20,0,-20,9.74972892187449,20.8945814513742,8.98093116453545,20.2289679567623,-18.1952407969775,23.7841875898891
