"Location","nation","id","Country","Country_work","gender","what_participant_group","field_research","total_research","percent_Applied_Research_current","percent_Applied_Research_past","percent_Fundamental_Research_past","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Use_inspired_Research_past","changed","majority_current","majority_past","app.use.fund.current","app.use.fund.past","curr_past.app","curr_past.use","curr_past.fund"
"India","India",1702,"India","India","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,40,20,20,20,40,60,"Yes","fund.current","use.past",20,-80,20,-20,0
"Lesotho","Lesotho",1765,"Lesotho","Lesotho","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,70,40,30,0,30,30,"Yes","app.current","fund.past",-100,30,30,0,-30
"Vietnam","Vietnam",1772,"Vietnam","Vietnam","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",50,70,0,50,70,0,0,"Yes","app.current","fund.past",-70,50,70,0,20
"Nicaragua","Nicaragua",1773,"Nicaragua","Nicaragua","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",80,50,30,30,10,40,20,"Yes","app.current","fund.past",-90,30,20,20,-20
"Mozambique","Mozambique",1790,"Mozambique","Mozambique","Male","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science",260,34.6153846153846,34.6153846153846,30.7692307692308,34.6153846153846,30.7692307692308,34.6153846153846,"Yes","fund.current","fund.past",34.6153846153846,30.7692307692308,0,-3.8461538461538,3.8461538461538
"Malaysia","Malaysia",1791,"Malaysia","Malaysia","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,20,70,20,40,40,10,"Yes","fund.current","app.past",40,-80,-50,30,20
"Nepal","Nepal",1803,"Nepal","Nepal","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",270,33.3333333333333,33.3333333333333,33.3333333333333,29.6296296296296,25.9259259259259,33.3333333333333,"Yes","fund.current","fund.past",29.6296296296296,33.3333333333333,0,-7.4074074074074,-3.7037037037037
"India","India",1804,"India","India","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,20,10,90,70,10,0,"Yes","fund.current","fund.past",70,90,10,10,-20
"Malaysia","Malaysia",1819,"Malaysia","Malaysia","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",100,70,60,40,30,0,0,"Yes","app.current","app.past",-70,-60,10,0,-10
"","Bangladesh",1836,"","Bangladesh","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",80,60,20,20,10,30,40,"Yes","app.current","fund.past",-90,20,40,-10,-10
"","Colombia",2047,"","Colombia","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,60,80,10,20,20,10,"Yes","app.current","app.past",-80,-90,-20,10,10
"India","India",2053,"India","India","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",180,50,33.3333333333333,38.8888888888889,27.7777777777778,33.3333333333333,27.7777777777778,"Yes","app.current","fund.past",-83.3333333333333,38.8888888888889,16.6666666666667,5.5555555555555,-11.1111111111111
"","Colombia",2067,"","Colombia","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering",100,60,60,40,40,0,0,"Yes","app.current","app.past",-60,-60,0,0,0
"Brazil","Brazil",2093,"Brazil","Brazil","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,70,50,50,30,0,0,"Yes","app.current","fund.app.half.past",-70,50,20,0,-20
"India","India",2125,"India","India","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",160,0,0,62.5,50,43.75,37.5,"Yes","fund.current","fund.past",50,62.5,0,6.25,-12.5
"Uruguay","Uruguay",2657,"Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,20,0,90,60,20,10,"Yes","fund.current","fund.past",60,90,20,10,-30
"Uruguay","Uruguay",2658,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",90,0,0,90,80,20,0,"Yes","fund.current","fund.past",80,90,0,20,-10
"","Uruguay",2660,"","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,20,0,100,80,0,0,"Yes","fund.current","fund.past",80,100,20,0,-20
"","Uruguay",2661,"","Uruguay","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,0,0,100,80,20,0,"Yes","fund.current","fund.past",80,100,0,20,-20
"Uruguay","Uruguay",2662,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,100,90,10,0,"Yes","fund.current","fund.past",90,100,0,10,-10
"Uruguay","Uruguay",2664,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",150,33.3333333333333,6.66666666666667,60,53.3333333333333,46.6666666666667,33.3333333333333,"Yes","fund.current","fund.past",53.3333333333333,60,26.6666666666666,13.3333333333334,-6.6666666666667
"Uruguay","Uruguay",2665,"Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,30,0,60,20,50,40,"Yes","use.current","fund.past",-80,60,30,10,-40
"Uruguay","Uruguay",2666,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,10,0,30,20,70,70,"Yes","use.current","use.past",-80,-70,10,0,-10
"Uruguay","Uruguay",2671,"Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,30,10,90,70,0,0,"Yes","fund.current","fund.past",70,90,20,0,-20
"Uruguay","Uruguay",2673,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,20,0,100,80,0,0,"Yes","fund.current","fund.past",80,100,20,0,-20
"Uruguay","Uruguay",2678,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,80,50,50,20,"Yes","fund.use.half.current","fund.past",50,80,0,30,-30
"Uruguay","Uruguay",2680,"Uruguay","Uruguay","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,30,20,80,30,30,0,"Yes","fund.current","fund.past",30,80,10,30,-50
"Uruguay","Uruguay",2682,"Uruguay","Uruguay","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,10,0,90,70,20,10,"Yes","fund.current","fund.past",70,90,10,10,-20
"","Uruguay",2685,"","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,50,40,60,50,"Yes","use.current","fund.use.half.past",-60,50,0,10,-10
"Uruguay","Uruguay",2687,"Uruguay","Uruguay","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,0,0,80,60,40,20,"Yes","fund.current","fund.past",60,80,0,20,-20
